rt (min)	m/z (ES-)	comments
1.57	332.17215	C15H26NO7-; has corresponding peak in ES+; not in growth medium; belongs to family of puzzling amino derivatives
1.62	263.11389	"C11H19O7-;  also diff. in growth medium; has corresponding peak in ES+ (Na adduct, 287.11014)"
2.19	249.09825	"C10H17O7-; found manually looking for bhas#11, but it's too late for it; not in XCMS; also diff. in growth medium"
3.43	304.08655	C12H18NSO6-; has S; has corresponding peak in ES+; not in growth medium
3.44	291.14526	"C13H23O7-; found manually looking for bhas#1, but it may be too late, based on bhas#9; not in XCMS; also diff. in growth medium"
3.46	841.30273	C34H54N2PO20-; glucoside of GPE of osas#9; has corresponding peak in ES+ (843.31723); not in growth medium
3.47	370.13742	C14H20N5O7-; not differential in ES- and ES+ on 9/2/16; not in growth medium
3.63	212.97305	"C6H7Cl2O4-; unrelated to ascr#9, has 2 Cl; very little in growth medium"
3.66	374.21887	C18H32NO7-; homolog of m/z 332 @ 1.57 min; has corresponding ES+ peak; also diff. in growth medium (small peak); belongs to family of puzzling amino derivatives
3.83	679.24982	C28H44N2PO15-; GPE of osas#9; has corresponding peak in ES+; not in growth medium
3.83	333.15628	C15H25O8-; not in ES+; not in growth medium
3.94	567.25629	"C27H39N2O11-; related to 332.17215 based on MS/MS, its analog with oct-suc attached to 4'-position; has corresponding peak in ES+; not in growth medium"
3.97	701.35138	"maybe in growth medium?; p.38, need to check 293.15115 --> 293.15115 is not diff. Fishy."
4.29	561.22314	C25H37N2O10-; HCl adduct of 525.24634; N-ethanolamide of osas#9; has corresponding peaks in ES+ (527.26093 and Na adduct 549.24274); not in growth medium
4.32	424.07098	C13H25Cl2NPO8-; contains 2 Cl; GPE of C8 fatty acid; not in ES+; not in growth medium
4.32	644.25732	"C29H42NO15-; glucoside of osas#9; 2peaks (4.30 and 4.48 min) has NH3, Na adducts, and 510 fragment in ES+; not in growth medium"
4.50	644.25732	C29H42NO15-; glucoside of osas#9;
4.44	396.17993	C16H31NO8P-; GPE of C11 fatty acid; has corresponding peak in ES+; not in growth medium
4.67	678.25476	"C30H45ClNO14-; HCl adduct of 642, C30H44NO14-; has corresponding FA adduct, 688.28418; glucoside of osas#2; 2 peaks (4.67 and 4.88 min); has corresponding peak in ES+ (NH3 adduct, 661); not in growth medium"
4.87	678.25476	"C30H45ClNO14-; HCl adduct of 642, C30H44NO14-;  has corresponding FA adduct, 688.28418; glucoside of osas#2; 2 peaks (4.67 and 4.88 min); has corresponding peak in ES+ (NH3 adduct, 661); not in growth medium"
4.73	529.19427	C24H33O13-; glucoside of hbas#9
4.58	319.17623	"C15H27O7-; 2 small peaks close to each other; found manually when looking for bhas#10, but this is too late for it; not in XCMS; also diff. in growth medium"
4.88	383.14798	"C15H28PO9-; phosphate of ascr#10; also diff. in growth medium, 4.3, 4.8, 5.05, and 5.15 min"
4.90	448.21921	C20H34NO10-; has corresponding peak in ES+; not in growth medium
4.92	340.15329	C13H27NPO7-; has small diff. peak in ES+; there's a peak at 5.1 in growth medium that's not diff.
4.93	523.23016	"C25H35N2O10-, no good MS/MS; also diff. in growth medium (small peak, not pretty); since RT is the same as for 521.21423, this may be 13C2 isotope of it; p.40"
4.94	521.21423	C25H33N2O10-; ascr#8 + Glu; has corresponding peak in ES+ (393 fragment); also diff. in growth medium
5.00	346.13370	"C15H24NSO6-; has S; homolog of 304.08655, though fragmentation looks very different; has corresponding peak in ES+; not in growth medium"
5.07	463.21976	C21H35O11-; glucoside of ascr#3; check its HCl adduct; also diff. in growth medium
5.11	241.00450	"C8H11Cl2O4-; has 2 Cl, first HCl adduct is 205.02768; C8 diacid with 2 double bonds; homolog of 212.97305 @ 3.63 min; very small in growth medium (diff?)"
5.22	465.23486	"C21H37O11-; glucoside of ascr#10, check HCl adduct; also diff. in growth medium"
5.25	418.14124	"C15H30ClNPO8-; HCl adduct; 5.25 and 5.93 min; GPE of C10 fatty acid; 5.93 min peak also has 140 and 214 fragments, maybe HCl adduct of oxea#10; not in ES+, but there's a peak with m/z 384.17906 (ES+) at 5.25 min that's in FCS1 but not in N2; not in growth medium"
5.26	471.18793	"C22H31O11-; has corresponding double peak in ES+ (ammonium adduct, 490.22928, and smaller Na adduct 495.18463); also diff. in growth medium (double peak)"
5.33	412.21133	C17H35NPO8-; has corresponding peak in ES+ (double peak); peak with this mass around 5.9 min is diff. in growth medium
5.49	410.19571	"C17H33NPO8-; peaks at 5.27 and 5.47 min, MS/MS supports phosphate, same formula as oxea#12 [Sci.Rep.2015], but elutes earlier; peak around 5.6 min is also diff. in growth medium"
5.49	508.21994	"C25H34NO10-; only at 5.48 min, has Na adduct peak in ES+ (532.21613); not in growth medium"
5.56	273.17120	"C14H25O5-; several peaks at 5.44, 5.54, 5.65, 5.73 min; has small peaks in ES+ corresponding to Na adducts; not in growth medium"
5.57	510.23538	C25H36NO10-; osas#1; has 348.14453 fragment and Na adduct (534.23187) in ES+; not in growth medium
5.59	456.23779	"C19H39NPO9-; phosphate supported by MS/MS;  GPE of C14 fatty acid (?); has corresponding peak in ES+; there's another peak of the same mass at 6.22 min, which is present in FCS1 but not in N2; there're two peaks, at 5.8 and 6.2, which are present in FCS1 growth medium but not in N2 growth medium"
5.61	476.25070	C22H38NO10-; has corresponding peak in ES+; not in growth medium
